codigo,familia,seccion,descripcion,pdf,familias_todas
031200201,Accesorios para Bano,Agarradera Recta Agarradera Recta,,03_Accesorios-Bano.pdf,Accesorios para Bano
031200202,Accesorios para Bano,Acero Inoxidable SS304,(Barra D32 L24): L = 78 cm,03_Accesorios-Bano.pdf,Accesorios para Bano
031200204,Accesorios para Bano,Agarradera Recta Agarradera 135º con Jabonera,,03_Accesorios-Bano.pdf,Accesorios para Bano
031200301,Accesorios para Bano,Agarradera Recta Agarradera Recta,,03_Accesorios-Bano.pdf,Accesorios para Bano
031200500,Accesorios para Bano,Agarradera Recta Agarradera 135º con Jabonera,,03_Accesorios-Bano.pdf,Accesorios para Bano
031200512,Accesorios para Bano,"Espesor Placas Sujeción al Muro: 1,8 mm",": 3,0 mm",03_Accesorios-Bano.pdf,Accesorios para Bano
031200513,Accesorios para Bano,Barra Seguridad Abatible al Muro Barra Seguridad 90°,al Muro 3 Apoyos,03_Accesorios-Bano.pdf,Accesorios para Bano
031200522,Accesorios para Bano,Barra Seguridad Abatible al Muro Barra Seguridad 90°,(Barra 90� al Muro): 70 x 60 cm,03_Accesorios-Bano.pdf,Accesorios para Bano
031200532,Accesorios para Bano,Barra Seguridad 90° Esquinera 3 Apoyos,(Barra 90� Esquinera): H = 68; L = 65,03_Accesorios-Bano.pdf,Accesorios para Bano
031200542,Accesorios para Bano,Muro-Suelo 3 Apoyos,(Apoyo Derecho),03_Accesorios-Bano.pdf,Accesorios para Bano
031200543,Accesorios para Bano,Muro-Suelo 3 Apoyos,(Apoyo Izquierdo),03_Accesorios-Bano.pdf,Accesorios para Bano
031400100,Accesorios para Bano,3 Litros 5 Litros,,03_Accesorios-Bano.pdf,Accesorios para Bano
031400200,Accesorios para Bano,3 Litros 5 Litros,,03_Accesorios-Bano.pdf,Accesorios para Bano
031400300,Accesorios para Bano,Altura 39 cm,,03_Accesorios-Bano.pdf,Accesorios para Bano
031400400,Accesorios para Bano,Altura 39 cm,,03_Accesorios-Bano.pdf,Accesorios para Bano
031400500,Accesorios para Bano,Diámetro 29 cm,Altura 65 cm,03_Accesorios-Bano.pdf,Accesorios para Bano
031400700,Accesorios para Bano,Diámetro 29 cm,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500100,Accesorios para Bano,Dispensador Jabón Dispensador de Jabón Dispensador de Jabón,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500200,Accesorios para Bano,Dispensador Jabón Dispensador de Jabón Dispensador de Jabón,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500401,Accesorios para Bano,Plástico Blanco Simple,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500501,Accesorios para Bano,Plástico Blanco Simple,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500601,Accesorios para Bano,Plástico Blanco Simple,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500701,Accesorios para Bano,para Jabón Líquido para Jabón Spray para Espuma de Jabón,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500801,Accesorios para Bano,para Jabón Líquido para Jabón Spray para Espuma de Jabón,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500900,Accesorios para Bano,100% Metálico,,03_Accesorios-Bano.pdf,Accesorios para Bano
031500901,Accesorios para Bano,para Jabón Líquido para Jabón Spray para Espuma de Jabón,,03_Accesorios-Bano.pdf,Accesorios para Bano
031600300,Accesorios para Bano,Metálico Redondo Acrílico con Llave,/400,03_Accesorios-Bano.pdf,Accesorios para Bano
031600400,Accesorios para Bano,Acero Inoxidable 304 con Llave,,03_Accesorios-Bano.pdf,Accesorios para Bano
031600500,Accesorios para Bano,con Palanca,,03_Accesorios-Bano.pdf,Accesorios para Bano
031600600,Accesorios para Bano,Interfoliadas Interfoliadas Acero Inoxidable,,03_Accesorios-Bano.pdf,Accesorios para Bano
